idx,method,ws,bpr,mae
58,SSD,7,51.80149847850731,11.341826
58,SSD,15,41.36499629216069,8.060558
58,NCC,7,33.24610676872459,5.9829803
58,NCC,15,26.28644976517018,3.5079026
59,SAD,7,48.66515209145019,9.895347
59,SAD,15,36.81959764384181,7.6528645
59,SSD,7,46.225726533507405,9.344569
59,SSD,15,32.86902351018226,6.7668495
59,NCC,7,18.646751030562207,3.8174934
59,NCC,15,11.158855639051367,1.8163649
60,SAD,7,20.436661746434602,3.008943
60,SAD,15,16.054115473244913,2.1234612
60,SSD,7,20.011893510603276,2.9409654
60,SSD,15,15.71536280516943,2.1866076
60,NCC,7,13.562849770094193,2.7154593
60,NCC,15,10.321868130701187,1.7675675
61,SAD,7,37.54899237724902,7.3345203
61,SAD,15,29.867604851402646,4.8411956
61,SSD,7,36.84072462426319,7.153047
61,SSD,15,29.53738851340925,4.630692
61,NCC,7,27.511341542449774,5.760501
61,NCC,15,19.556831157608865,2.5405657
62,SAD,7,19.341426538598363,3.779515
62,SAD,15,12.495553183920313,2.1163137
62,SSD,7,18.33533440056919,3.5740736
62,SSD,15,12.540021344717184,2.0705726
62,NCC,7,11.774057274991106,2.909234
62,NCC,15,9.02258982568481,1.8025169
63,SAD,7,19.609366010815787,3.5983615
63,SAD,15,13.712461166724196,2.145094
63,SSD,7,18.706132781037855,3.488734
63,SSD,15,13.450696122425498,2.133147
63,NCC,7,14.513577263836153,3.7832947
63,NCC,15,9.876596479116326,1.6120039
64,SAD,7,28.758031411743705,6.250344
64,SAD,15,22.68985364983045,4.047012
64,SSD,7,27.75856683919329,6.1604834
64,SSD,15,21.797474567196147,3.8556242
64,NCC,7,19.44605568445476,4.2235785
64,NCC,15,14.579243262537926,2.3340702
65,SAD,7,23.620950798846923,3.873065
65,SAD,15,16.657301998338788,2.4396827
65,SSD,7,22.323740655689647,3.7810404
65,SSD,15,15.59583720134851,2.442116
65,NCC,7,15.090145111643134,3.428124
65,NCC,15,12.205012947671861,2.1300623
66,SAD,7,32.63964950711939,7.4152174
66,SAD,15,24.11367959877789,4.991228
66,SSD,7,31.52130051305701,7.102743
66,SSD,15,22.23900386233931,4.431117
66,NCC,7,15.88170865279299,3.5856853
66,NCC,15,11.973251859111086,1.8741891
67,SAD,7,31.22213260694231,5.257828
67,SAD,15,23.21458463317761,3.2204225
67,SSD,7,30.079284159907477,5.1995764
67,SSD,15,21.306286427343142,2.9938402
67,NCC,7,16.699891954407803,3.7655475
67,NCC,15,13.155692176586065,2.1539593
68,SAD,7,21.87680608365019,3.6501846
68,SAD,15,16.107984790874525,2.3099942
68,SSD,7,21.82965779467681,3.7525935
68,SSD,15,16.77262357414449,2.384901
68,NCC,7,18.361977186311787,4.214452
68,NCC,15,14.471482889733842,2.3298578
69,SAD,7,28.416001994017947,5.8736315
69,SAD,15,19.492771684945165,3.7317333
69,SSD,7,27.31679960119641,5.595128
69,SSD,15,18.885842472582254,3.4276967
69,NCC,7,13.910767696909272,2.9521677
69,NCC,15,11.785892323030907,1.8386127
70,SAD,7,10.6202681114121,2.2329252
70,SAD,15,7.511981662846426,1.6342605
70,SSD,7,9.94825310828645,2.1521966
70,SSD,15,7.228936584010557,1.6192671
70,NCC,7,6.108911578801139,1.3558869
70,NCC,15,5.363964714871154,1.262524
71,SAD,7,35.06062674884852,6.022878
71,SAD,15,25.003605873246343,3.827651
71,SSD,7,33.34903891458407,5.691996
71,SSD,15,22.91027625796898,3.6144378
71,NCC,7,13.102301027914267,2.8688715
71,NCC,15,7.7944556092964214,1.4615909
72,SAD,7,37.03627396695811,10.311038
72,SAD,15,29.053940946960427,8.545097
72,SSD,7,35.74601784725531,10.111662
72,SSD,15,26.765732239663144,8.124251
72,NCC,7,9.608673817587142,3.0795045
72,NCC,15,8.559213999665204,2.463369
73,SAD,7,38.14270376310592,10.328256
73,SAD,15,29.981575494081625,8.412593
73,SSD,7,35.58315549487693,9.778858
73,SSD,15,27.25236271092083,7.967555
73,NCC,7,4.533223758334107,1.6012816
73,NCC,15,4.567686862929629,1.7519804
74,SAD,7,40.91352572660984,11.069602
74,SAD,15,31.082468932936223,8.651857
74,SSD,7,38.18681318681318,10.494419
74,SSD,15,27.80373831775701,8.06408
74,NCC,7,6.403409674437712,2.0680013
74,NCC,15,5.178699804868029,2.037993
75,SAD,7,47.54398595480783,9.844493
75,SAD,15,36.09058643729554,7.2634387
75,SSD,7,45.03934422088338,9.452068
75,SSD,15,33.268917433973705,7.090133
75,NCC,7,7.506346860672199,1.9497197
75,NCC,15,4.9827592739949225,1.372569
76,SAD,7,49.332634782825636,10.014577
76,SAD,15,37.90260210064117,7.6138043
76,SSD,7,46.85527530374473,9.725305
76,SSD,15,34.30756180924581,7.355552
76,NCC,7,9.586358306513985,2.3124177
76,NCC,15,6.202130579048474,1.5501913
77,SAD,7,47.07566573341669,8.5183935
77,SAD,15,37.98327398588346,6.332455
77,SSD,7,44.80777768717098,8.293083
77,SSD,15,34.61451339621445,5.6718116
77,NCC,7,17.702755352596338,3.1542814
77,NCC,15,14.158217583154384,2.069816
78,SAD,7,42.99294781382228,9.080857
78,SAD,15,35.019275975552425,6.6369257
78,SSD,7,41.131170662905504,8.798358
78,SSD,15,31.92195580629995,5.9627185
78,NCC,7,13.431123648330983,2.4104855
78,NCC,15,10.059238363892806,1.5807633
79,SAD,7,41.48385946138755,8.320786
79,SAD,15,34.50374531835206,6.0654063
79,SSD,7,39.46183342250758,8.056796
79,SSD,15,31.747146424112714,5.82897
79,NCC,7,7.011325129302658,1.5040733
79,NCC,15,6.021490993401106,1.307442
80,SAD,7,41.531571138099686,8.46892
80,SAD,15,32.45452547123152,6.1155205
80,SSD,7,39.61642028905864,8.063783
80,SSD,15,30.39512007473759,5.8384743
80,NCC,7,7.036874210034622,1.5033197
80,NCC,15,6.222179480134088,1.3038405
81,SAD,7,38.56331457638733,8.492283
81,SAD,15,29.86439650514608,5.854893
81,SSD,7,37.165109444803186,8.170437
81,SSD,15,29.37285030902837,5.7382417
81,NCC,7,9.177286085157412,2.1654055
81,NCC,15,7.483889672258609,1.665751
82,SAD,7,24.42648518360981,5.0250187
82,SAD,15,14.489342596531026,2.963748
82,SSD,7,22.609764166548512,4.6212792
82,SSD,15,12.79171983553098,2.7393904
82,NCC,7,7.910581785528617,1.9511096
